Ticker;Setor;Tendencia;Preco;Activator;Dist Activator;Dias Tendencia;Var Tendencia;RSI;RSI Zona;SMA Status;Vol Relativo;Vol Class;Trades;Win Rate;Payout Medio;Payout Wins;Payout Losses;Profit Factor;Max Drawdown;Retorno Acum;Maior Win;Maior Loss;Max Wins Consec;Max Losses Consec;Dias Medio Trade;Expectativa;Suporte 20d;Resistencia 20d;Volatilidade 20d;Ultimo Sinal;Data Ultimo Sinal;Grafico
BBDC4;Financeiro;ALTA;R$ 20,37;R$ 19,00;+7,23%;8;+6,26%;60.22;FORTE;ALTA (SMA9 > SMA21);0.76;NORMAL;70;+34,29%;-0,48%;+5,18%;-3,43%;0.79;-40,66%;-35,68%;+22,92%;-15,64%;3;7;10.2;-0,48%;18.07;20.64;2.94;COMPRA;2026-03-31;graficos/hilo_bbdc4.png
BEEF3;Alimentos;ALTA;R$ 4,27;R$ 4,15;+2,99%;8;+0,47%;45.08;NEUTRO;ALTA (SMA9 > SMA21);0.5;ABAIXO da média;53;+45,28%;+1,80%;+10,55%;-5,44%;1.6;-48,05%;+91,56%;+39,50%;-18,26%;6;5;13.8;+1,80%;3.63;4.45;4.34;COMPRA;2026-03-31;graficos/hilo_beef3.png
BPAC11;Financeiro;ALTA;R$ 62,94;R$ 56,38;+11,63%;8;+11,81%;66.27;FORTE;ALTA (SMA9 > SMA21);0.6;ABAIXO da média;70;+30,00%;-1,07%;+5,24%;-3,77%;0.6;-61,53%;-56,51%;+13,88%;-8,15%;2;8;9.5;-1,07%;51.82;63.68;5.03;COMPRA;2026-03-31;graficos/hilo_bpac11.png
BRAP4;;ALTA;R$ 24,53;R$ 22,93;+6,99%;12;+9,12%;67.41;FORTE;ALTA (SMA9 > SMA21);0.99;NORMAL;59;+50,85%;+0,82%;+4,46%;-2,95%;1.56;-21,22%;+51,21%;+17,24%;-5,95%;6;5;12.3;+0,82%;21.18;24.78;3.89;COMPRA;2026-03-25;graficos/hilo_brap4.png
BRAV3;;ALTA;R$ 21,71;R$ 19,69;+10,25%;12;+14,75%;65.06;FORTE;ALTA (SMA9 > SMA21);0.6;ABAIXO da média;55;+43,64%;+1,64%;+10,15%;-4,95%;1.59;-40,25%;+90,23%;+37,87%;-13,25%;5;6;13.4;+1,64%;16.38;22.03;7.52;COMPRA;2026-03-25;graficos/hilo_brav3.png
BRKM5;;BAIXA;R$ 9,38;R$ 9,58;-2,12%;15;-8,04%;44.96;NEUTRO;BAIXA (SMA9 < SMA21);0.63;ABAIXO da média;56;+41,07%;+0,32%;+9,84%;-6,31%;1.09;-56,67%;-5,75%;+22,21%;-16,09%;3;6;13.1;+0,32%;8.33;12.36;11.67;VENDA;2026-03-20;graficos/hilo_brkm5.png
CMIN3;Mineração e Siderurgia;ALTA;R$ 5,04;R$ 4,89;+3,13%;3;-0,98%;49.44;NEUTRO;ALTA (SMA9 > SMA21);0.5;ABAIXO da média;57;+40,35%;+1,28%;+9,07%;-3,98%;1.54;-31,87%;+66,01%;+52,74%;-9,38%;3;5;12.8;+1,28%;4.65;5.14;1.78;COMPRA;2026-04-08;graficos/hilo_cmin3.png
COGN3;;ALTA;R$ 3,23;R$ 3,09;+4,56%;12;+5,90%;52.42;NEUTRO;ALTA (SMA9 > SMA21);0.97;NORMAL;48;+39,58%;+3,93%;+18,90%;-5,88%;2.11;-44,08%;+281,80%;+65,38%;-10,69%;4;7;15.3;+3,93%;2.72;3.35;4.73;COMPRA;2026-03-25;graficos/hilo_cogn3.png
CSAN3;Petróleo e Gás;ALTA;R$ 5,57;R$ 5,18;+7,51%;8;+3,53%;52.8;NEUTRO;ALTA (SMA9 > SMA21);0.7;ABAIXO da média;61;+37,70%;+0,63%;+8,29%;-4,00%;1.25;-37,35%;+24,64%;+28,50%;-10,96%;3;8;12.0;+0,63%;5.0;5.77;2.49;COMPRA;2026-03-31;graficos/hilo_csan3.png
CSNA3;Mineração e Siderurgia;ALTA;R$ 6,47;R$ 6,35;+1,91%;12;-1,97%;42.95;NEUTRO;ALTA (SMA9 > SMA21);0.73;NORMAL;55;+40,00%;+1,15%;+9,63%;-4,51%;1.42;-33,57%;+41,19%;+59,91%;-10,10%;3;6;13.2;+1,15%;5.67;6.91;4.17;COMPRA;2026-03-25;graficos/hilo_csna3.png
